lat,lon,datetime,GPS_speed_kt,Dist_slant,Line_num,Notes,activity,PeakFreq,PeakLev,BB,OL_Hz,OL_31_5,OL_63,OL_125,OL_250,OL_500,OL_1000,OL_2000,OL_4000,OL_8000,OL_16000,TOL_Hz,TOL_25,TOL_31_5,TOL_40,TOL_50,TOL_63,TOL_80,TOL_100,TOL_125,TOL_160,TOL_200,TOL_250,TOL_315,TOL_400,TOL_500,TOL_630,TOL_800,TOL_1000,TOL_1250,TOL_1600,TOL_2000,TOL_2500,TOL_3150,TOL_4000,TOL_5000,TOL_6300,TOL_8000,TOL_10000,TOL_12500,TOL16000,TOL_20000
42.14260502,-70.41293297,2022-09-28T16:14:32Z,1.469282251,84.5671012,pre_survey,NA,Off_eff_transit,105,117.9636977,128.0248509,NA,105.5573343,120.5290011,121.1936212,120.1762232,122.0421125,118.5986335,114.4291472,109.7753575,109.3792221,105.8524484,NA,80.24388442,100.1636961,104.0590896,115.5841225,118.2605743,109.903823,120.8610837,107.1896556,106.5003775,109.2468955,116.5662508,117.0224273,118.598815,118.0393151,113.7912936,115.8809138,112.1670469,112.3594414,111.3729949,109.0643207,107.7434759,105.1030531,104.4265994,105.423934,105.1986235,104.6455243,103.879914,101.6367122,102.102939,98.85060457
42.14263896,-70.41301704,2022-09-28T16:14:42Z,1.535846114,80.47990694,pre_survey,NA,Off_eff_transit,106,120.0463192,128.5671423,NA,105.8053954,122.6611068,122.7443865,119.5698694,120.6375737,118.9430608,115.5530795,109.6800443,109.6603792,105.0661757,NA,92.54101763,97.1589004,104.9237485,113.2035491,121.6634309,112.2962855,122.4924295,108.4440401,105.580539,112.1019038,116.4734086,114.7639144,117.5025784,113.8388836,115.4828398,116.2749688,112.9893485,112.0633077,112.4107886,110.6020353,108.4568721,104.5466492,105.1694835,104.9869835,105.3470375,106.0360865,102.5723675,100.0653255,101.8996759,98.10887768
42.14268104,-70.41321603,2022-09-28T16:14:53Z,3.018202836,72.49565657,pre_survey,NA,Off_eff_transit,60,120.9365804,129.6506105,NA,106.0507392,124.8041137,123.3649925,121.6697263,121.4210776,116.9589959,116.6119883,109.1508727,109.1468506,102.1952058,NA,92.70821939,98.93293574,104.8559907,119.6248336,122.8433555,112.5766584,122.0421147,116.8213341,109.4877129,115.8007791,116.5067671,118.0699076,118.8431477,113.8297847,115.7911354,113.1510696,112.1210288,111.0353154,112.0405727,112.87943,110.1833288,104.9042335,104.3984676,103.7612283,105.1319033,104.9591052,102.6103208,98.33574802,98.16513405,95.06064285
42.14279898,-70.41346698,2022-09-28T16:15:04Z,4.333692611,69.74104729,pre_survey,NA,Off_eff_transit,60,121.5523166,129.5670306,NA,102.218628,124.9943822,122.5552861,119.4215527,122.5136318,119.2635038,116.5449375,107.4403886,107.4223267,99.94807745,NA,92.40907419,94.55600469,100.8173632,118.97856,123.4550992,111.82068,122.0318851,112.0917665,106.2957186,111.6069332,116.2696974,114.8700862,118.8700819,113.4737199,118.9786364,116.0445953,114.4739132,112.0857246,114.3310586,109.6684935,109.4247167,103.1526536,102.9352849,101.802291,103.3606607,102.7142186,101.7245857,96.59373818,96.35010856,90.00677382
42.14295999,-70.41365096,2022-09-28T16:15:14Z,4.566419948,77.39666073,pre_survey,NA,Off_eff_transit,304,116.6021926,128.5512915,NA,100.9946518,119.5380283,114.4988648,122.9272503,122.0513484,121.4562835,117.760105,112.4806945,112.9363647,105.4287228,NA,80.99362619,99.38529336,95.76094798,104.8240034,119.1986133,105.708252,108.4830419,111.3587148,108.7223518,115.0652735,117.4062679,120.3773181,118.9247695,116.5229952,115.7287308,119.4524454,113.8199875,114.4068112,113.1747877,114.1660709,111.0839448,107.1619561,108.064837,107.8512619,107.8045794,108.7539697,107.8708091,103.112296,100.7339861,94.12832965
42.143192,-70.41389496,2022-09-28T16:15:27Z,4.897200375,97.28236817,pre_survey,NA,Off_eff_transit,60,115.174456,125.0956141,NA,97.96383253,118.3727653,113.0988754,118.8657616,117.0979298,118.1134556,113.0540651,109.8330598,109.4512131,102.5295188,NA,87.86193277,92.25227293,95.98390979,98.15327082,118.2103552,102.7182191,106.7141528,111.1663741,104.2137041,111.1951147,109.2394097,117.4393243,113.56858,111.805234,111.2594608,113.8431739,114.5870825,110.7126039,109.0300463,107.4826156,108.197537,104.495609,105.7082565,104.8924714,104.5789193,105.2672193,104.1160657,100.4052406,97.46436341,91.29881572
42.14348202,-70.41411599,2022-09-28T16:15:40Z,5.544879425,127.1920066,pre_survey,NA,Off_eff_transit,20,105.6763216,121.522859,NA,99.40459932,106.2287971,111.9687232,112.2143832,115.9797915,115.2345531,111.7257087,107.4938208,107.0474626,100.6485098,NA,88.01899611,98.26802216,91.3795826,97.7740873,102.5080184,102.5908872,107.6560281,108.5197123,104.4629174,106.1903624,106.6813267,108.9399392,112.9260086,110.7977437,109.0276058,111.8696798,110.5289745,108.261987,107.0384433,106.9935978,106.8286482,102.8353576,103.226031,102.0208601,102.4654639,102.9463715,101.2449644,98.6100271,95.6634033,88.2296597
42.143681,-70.41422999,2022-09-28T16:15:48Z,5.847580259,148.4487782,pre_survey,NA,Off_eff_transit,60,110.6272456,121.8656098,NA,100.4163761,114.781996,113.5954186,111.3351594,115.8237494,114.4504285,110.6952899,105.7020929,105.5003546,99.5519756,NA,78.80289873,100.1327127,87.92390055,97.18763137,114.4757446,101.8310068,104.9311995,112.2326717,104.8440767,108.2439508,101.7602458,107.3442972,112.6752005,111.5643767,107.3047965,111.6624572,108.2236768,108.1671418,105.5265292,106.8563262,105.2082199,101.0802291,100.8058156,100.9021201,100.6269273,101.1642112,100.3570625,97.62452931,94.29781816,87.34510155
42.14390203,-70.41437499,2022-09-28T16:15:57Z,5.909556281,173.4687503,pre_survey,NA,Off_eff_transit,67,112.2898605,123.4170011,NA,106.2534218,114.4883218,110.8821668,115.5873769,118.2778671,114.9808879,114.0458327,108.6319351,107.7888556,101.4610829,NA,85.48290667,106.0235847,92.60540918,95.80629768,114.3722833,95.56702969,103.5729689,107.0455623,106.9116028,111.3366406,110.7838801,110.2614109,108.5103865,116.1907279,112.6881614,111.0772044,111.1587951,107.4902319,111.5587569,108.6481322,105.7315974,103.9874508,103.4280275,104.1351119,103.2014153,103.5897766,102.1343676,99.55005237,96.18107889,89.20630479
42.14422599,-70.41457398,2022-09-28T16:16:10Z,5.925286295,210.7431444,pre_survey,NA,Off_eff_transit,136,108.8922335,121.9438746,NA,100.1029692,104.088232,113.4521232,113.5453881,114.5359056,117.0358697,112.396851,108.1707578,106.202625,100.1825494,NA,85.75190816,99.00376571,92.8188588,97.75908026,100.3867185,99.41213825,102.2730433,111.9475846,106.8080987,106.425019,108.8576779,110.2303982,108.0951694,109.7542584,110.975548,114.4835393,112.1182791,107.9033226,108.276743,107.554337,106.942961,104.4170116,103.0850978,102.4620681,102.1727445,101.3248163,100.6644403,98.29649044,94.92487211,87.52725768
