"","RLDateTimeHyd_Serial","RLDateTimeHyd","Tow","Activity","PeakFreq","PeakLev","BB","OL_Hz","OL_31_5","OL_63","OL_125","OL_250","OL_500","OL_1000","OL_2000","OL_4000","OL_8000","OL_16000","TOL_Hz","TOL_25","TOL_31_5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL16000","TOL_20000"
"11",738792.6825,"2022-09-28T16:22:45Z","1","Transect",96,102.335165,114.2790047,NA,91.34246838,104.0345727,107.599331,107.7089298,106.0343632,107.2517147,101.8627177,98.58448072,97.59276436,94.82828082,NA,78.59647314,83.44288196,90.28931741,92.53902745,99.72310962,101.5054024,105.5100838,102.0560324,97.72070273,101.8948129,103.8437927,102.8565732,102.2526743,99.4303,101.6310084,102.8054724,102.6639615,101.9211521,98.09892912,96.3668763,96.59805372,93.99433743,92.98357573,94.34915916,92.92923175,92.4964914,93.02106536,92.59352919,90.08014643,83.09766787
"12",738792.6825,"2022-09-28T16:22:46Z","1","Transect",96,102.6237165,114.1947532,NA,91.67755014,103.6598821,107.7045216,107.0653423,106.8098208,107.0848059,100.9892026,98.33124714,98.07008015,94.92456605,NA,78.32205451,86.78738623,89.66745916,93.17870981,99.26687117,101.0383646,105.9037018,100.1263797,99.87341739,101.3276652,103.7018803,101.4145662,103.3160668,98.66409414,102.8240543,102.6978381,102.3224063,101.882291,97.15552317,96.05775416,95.2231694,93.74331821,92.64645468,94.15415904,93.86602787,92.81582704,93.14754814,92.45652385,90.37814684,84.08722062
"13",738792.6825,"2022-09-28T16:22:47Z","1","Transect",96,102.5580546,114.1246348,NA,93.11393302,102.3006557,108.3713162,106.2391724,107.0483346,107.2777477,100.4059389,96.90265969,97.57550409,94.57472221,NA,76.12906765,90.25385038,89.76393038,89.74060378,99.42896699,98.61836446,105.4811282,103.4876333,100.4440739,100.9038717,103.0261661,99.85776009,103.6672568,100.7290946,101.9271993,103.1250291,102.4239274,101.8806512,97.08001094,94.69143632,94.6676798,92.7449634,90.96805716,92.4788073,92.88052926,92.27224742,93.208699,92.32756075,89.79435706,83.10664196
"14",738792.6825,"2022-09-28T16:22:48Z","1","Transect",123,99.02786679,114.0499944,NA,92.68639891,102.5010201,107.9912459,107.7484998,106.1089796,106.1749648,101.0993667,98.65170961,97.96517904,94.90886521,NA,75.83732968,83.9665585,91.95527612,93.20822907,99.89221576,97.73701673,103.0968946,104.4868992,101.6037718,103.3296865,103.2258347,102.3049392,102.0227966,99.77898304,101.8713083,101.9438519,101.5731868,100.5829481,97.77723621,95.4780655,95.25856023,93.58617946,93.74513511,94.27943993,93.14984433,92.72319878,93.6582856,92.65954521,90.10373564,83.571995
"15",738792.6825,"2022-09-28T16:22:49Z","1","Transect",123,98.67051491,114.5856581,NA,92.85057251,102.7111052,107.7602928,108.2926133,107.0955026,107.3599756,101.3655472,99.47031492,99.21308031,94.85880726,NA,80.11718554,89.95595465,89.21756456,93.99066225,100.0031825,97.89208665,102.7963794,104.1156089,101.7237869,103.8513132,104.0819367,102.4607228,102.5448799,100.8059691,103.2687557,102.9854639,102.3602912,102.3915345,97.04412482,96.80909762,95.83808228,94.84846326,94.18238668,95.02199723,94.83313011,94.2043372,94.25982856,93.00185515,89.30757055,83.27123413
"16",738792.6825,"2022-09-28T16:22:50Z","1","Transect",253,100.3204711,114.0682142,NA,90.23065736,101.2750319,106.0418591,107.9836374,107.1580915,106.8220511,102.0265547,99.76833384,99.1895986,94.96587486,NA,83.69654672,81.0157297,88.41334821,92.10574905,97.47899987,97.9183463,100.9530679,102.3951782,100.1634873,103.2846991,104.5312305,101.1948018,103.5168449,100.9977068,102.2839863,101.6038708,102.5890382,101.9000171,97.03354198,97.29253916,97.43063134,94.85344685,94.88532799,95.24178873,94.7292905,94.19539623,94.31215579,93.17640176,89.29412269,83.21320434
"17",738792.6825,"2022-09-28T16:22:51Z","1","Transect",252,98.54572421,114.2774337,NA,90.88411496,103.9649574,105.9133238,107.9998572,107.052048,106.8922207,102.553848,100.1414115,99.38153665,94.46300947,NA,80.85595753,87.47766091,87.36026064,93.57265345,100.6827474,100.3894256,99.11510647,100.7580629,102.7784561,102.5175442,104.5046074,102.3109063,103.4544084,101.2447422,101.8328358,102.8007031,101.4574009,101.9989325,97.61460317,97.67656891,98.0442029,95.05046466,95.12431878,95.88565963,95.1283597,94.57354835,94.0637515,92.32045989,89.64598611,82.21407476
"18",738792.6825,"2022-09-28T16:22:52Z","1","Transect",252,100.3111818,113.5874896,NA,91.03679361,101.9851832,107.0681944,108.347624,104.5692945,105.5209297,100.5674494,98.21447054,98.18708776,94.80427328,NA,80.82021169,83.25824403,89.71785307,93.87831164,97.91740079,98.55020182,101.5238984,101.4000991,103.5991966,101.6931177,105.1986233,103.114037,99.75901227,98.83022012,100.6213664,101.4507031,100.4238513,100.2782378,95.29902992,95.62658697,96.38992384,93.89129437,92.39691323,93.87856956,93.40336495,93.09362267,93.72750191,92.68721597,89.85892576,82.97262307
"19",738792.6826,"2022-09-28T16:22:53Z","1","Transect",253,101.6218312,113.6122046,NA,92.3323815,103.418046,106.9562582,108.5121015,105.8981789,103.8474001,98.88275297,96.79696355,98.15694473,95.06556113,NA,74.34386604,90.55576321,87.38183139,95.98928389,100.7584057,97.84574795,103.4885828,101.7814176,100.8696602,103.1655207,105.4910037,101.719153,103.2978223,98.85171104,99.9311258,100.3746125,99.10083261,97.17740584,93.31785892,94.28733678,94.62582957,92.72205812,91.08393341,92.11626198,92.60613065,93.29226754,94.12515589,92.70757076,90.53019147,83.32833847
"20",738792.6826,"2022-09-28T16:22:54Z","1","Transect",96,101.1797362,113.4218396,NA,91.45207864,103.321026,107.8528409,107.9529764,105.4269004,103.4933179,97.46680875,94.82299429,96.70607618,94.76335745,NA,80.68496847,84.44168069,90.00813162,95.41187967,101.0015551,97.33418019,104.5760564,103.2691672,100.4467507,100.9815621,105.2365893,102.1714314,102.1309869,99.20406235,100.0985309,100.2823067,98.22594491,97.01968622,92.23010817,92.33467858,93.41950433,89.55647075,89.34288601,91.04993382,91.39962049,91.2908374,92.91705432,92.80504558,89.7481277,81.56091859
"21",738792.6826,"2022-09-28T16:22:55Z","1","Transect",96,103.3615248,113.9097437,NA,91.32425968,103.0584107,109.6509239,108.2086928,105.4407372,103.259393,97.1043849,92.65863576,92.98390143,89.01078374,NA,79.33092137,87.85389372,88.20013294,95.20036488,100.7315166,97.05577472,106.3409745,105.7481017,100.6621902,102.8359011,103.4664297,103.9399819,102.4779958,99.39472477,99.34926065,100.846218,97.18016484,95.80379415,92.01490235,92.74208509,92.20953453,87.79853092,87.94584621,87.9164967,87.88523931,87.81682691,88.85631582,87.01696199,83.95432875,76.49272388
"22",738792.6826,"2022-09-28T16:22:56Z","1","Transect",123,100.2265302,113.3936399,NA,91.8337886,104.9598482,107.5115491,107.9013825,105.349813,103.6680507,97.02011761,93.30870309,92.57868888,86.94948928,NA,80.83535134,86.12738754,89.97480903,93.9715762,100.7684817,102.2790095,103.3196594,103.9272875,100.0883198,102.321966,104.063017,102.8159194,101.4005598,100.3543631,99.83153246,100.9326908,98.11973494,96.42353075,92.09122983,92.85984322,91.71640332,88.41509765,88.22227179,88.94271855,88.57898118,87.61199472,87.09967978,85.08384523,80.94546522,76.8733409
"23",738792.6826,"2022-09-28T16:22:57Z","1","Transect",82,100.5246253,113.499661,NA,90.26831295,105.5322247,106.9766013,108.4329961,105.2411522,103.1785472,98.06090416,95.54230515,93.87103422,89.01296565,NA,77.56883276,86.9552537,87.08035995,94.61129555,101.182818,102.9498468,103.3047916,103.3600201,98.30528278,101.0587096,104.4519644,104.6353936,101.4808868,100.3801431,99.26870185,100.2667243,97.86319851,96.0666968,92.18653031,93.72891421,93.77369013,90.31352441,91.37327896,90.55411615,89.240115,89.18978799,88.85982217,87.04456344,83.28287481,78.88695707
"24",738792.6826,"2022-09-28T16:22:58Z","1","Transect",123,100.6221406,113.6552412,NA,90.73195456,104.0484572,108.3457535,107.6500449,105.5628317,104.1227569,98.75587763,96.4642193,95.88516717,90.79060629,NA,77.6422125,85.69179709,88.7773633,92.5825323,97.65810864,102.493548,104.0186476,105.0145776,100.5569452,100.4492577,104.5905567,102.6347979,101.8013985,100.6393528,99.67167027,101.5713691,97.95198791,97.19279448,93.02884345,94.36159197,94.42567823,92.14554926,91.22825646,91.65664079,90.88408274,91.21285434,91.23608111,88.69871688,85.48290279,80.21834889
"25",738792.6826,"2022-09-28T16:22:59Z","1","Transect",124,99.09993154,113.5599611,NA,92.3244687,102.9721585,106.8634879,107.2293961,106.3644303,104.5886837,99.75914158,96.13105581,96.13224397,90.72205086,NA,88.98407667,83.08839473,88.52960789,93.92182064,97.34981614,100.7648659,100.7040151,104.4346791,99.56403774,100.5454576,103.6482054,102.6327056,103.8852792,99.23519338,100.1895781,101.671247,98.59566374,98.3471651,94.91772539,95.11938191,94.92363216,91.19552173,90.28103883,92.35348887,92.12053422,90.56422562,91.25783668,88.71891376,85.23066353,80.12225664
"26",738792.6826,"2022-09-28T16:23:00Z","1","Transect",82,98.64995941,113.2594296,NA,88.49210217,103.4211597,104.9421244,107.8575412,106.5152907,105.165416,100.1341999,95.88040214,95.75449067,90.19926743,NA,81.07942211,84.15735368,85.02409268,95.67335735,95.60543122,101.6603072,99.63733914,101.3881194,99.15883231,102.6204144,103.7399782,102.8143788,103.5293899,99.56306002,101.2201314,102.3051869,98.95321084,99.02523728,95.60530691,95.43755737,95.02580938,91.11268799,90.0833502,91.93552809,91.32695788,90.83537007,90.7656908,88.34807826,84.39692243,79.45050252
"27",738792.6827,"2022-09-28T16:23:01Z","1","Transect",421,98.57545706,113.5958389,NA,90.71664723,101.671803,107.119637,107.5930738,106.8559163,105.7655963,99.69569845,96.19424424,95.02787937,90.13479585,NA,71.32747956,87.58811899,87.72297251,93.04549633,97.74444852,98.28019961,99.88493294,104.8692955,100.4511903,102.6411616,103.5942291,102.0961533,104.3350534,100.4262572,100.1361632,103.0139553,99.47866326,99.46122113,94.93486679,95.49884843,94.25029445,91.59857832,90.00942572,92.34525708,90.81684829,90.07722684,89.81258628,88.20497677,84.67181887,78.85708812
"28",738792.6827,"2022-09-28T16:23:02Z","1","Transect",419,96.68266497,113.6030027,NA,92.52514714,101.6141068,106.9045098,107.6263875,106.8654747,105.4856505,100.3868761,97.08656947,96.02448533,89.88496976,NA,88.39828942,80.53944845,89.92916504,92.7201308,96.3543602,99.19661708,101.9475081,103.7897958,99.74889738,102.8317595,102.7785641,102.9533485,104.4481637,100.5779365,99.69288927,102.2061692,99.85536007,99.5772212,94.10274692,96.63057636,95.74783277,92.8200241,90.84155013,92.97692586,92.27796887,90.94593531,90.29618841,87.86103683,84.50280722,79.07156395
